t [s]	 x [feet] 	 y [feet] 	 z [feet]
0.000000	0.531596	54.096510	6.236904
0.000500	0.508328	54.055338	6.320255
0.001000	0.561692	53.963703	6.258786
0.001500	0.534320	53.936501	6.183739
0.002000	0.503371	53.881912	6.243385
0.002500	0.439728	53.882543	6.225389
0.003000	0.463801	53.833372	6.245298
0.003500	0.547855	53.838282	6.209778
0.004000	0.518573	53.741033	6.293762
0.004500	0.487867	53.680016	6.212822
0.005000	0.529577	53.574222	6.236166
0.005500	0.535592	53.507099	6.300546
0.006000	0.465085	53.454160	6.285996
0.006500	0.398268	53.393213	6.269039
0.007000	0.475308	53.383820	6.292894
0.007500	0.428527	53.304631	6.199740
0.008000	0.497534	53.259101	6.216401
0.008500	0.434211	53.257766	6.248625
0.009000	0.522196	53.174335	6.248952
0.009500	0.505096	53.096406	6.205706
0.010000	0.466325	52.990880	6.298588
0.010500	0.430963	52.956689	6.177729
0.011000	0.514176	53.016015	6.261983
0.011500	0.521947	52.869183	6.169813
0.012000	0.382262	52.826607	6.328095
0.012500	0.474754	52.852172	6.196628
0.013000	0.468722	52.744983	6.232863
0.013500	0.397693	52.663057	6.205097
0.014000	0.448051	52.676050	6.256045
0.014500	0.535997	52.589293	6.220060
0.015000	0.489292	52.518309	6.230489
0.015500	0.556013	52.436292	6.247165
0.016000	0.417247	52.385586	6.253506
0.016500	0.541167	52.389862	6.205379
0.017000	0.444622	52.300924	6.249408
0.017500	0.562922	52.215042	6.221076
0.018000	0.499570	52.172844	6.250924
0.018500	0.460580	52.142549	6.270762
0.019000	0.459998	52.143791	6.150889
0.019500	0.500671	52.007664	6.230090
0.020000	0.483223	51.972301	6.222372
0.020500	0.479504	51.916406	6.276280
0.021000	0.530321	51.926842	6.282561
0.021500	0.444053	51.830907	6.248979
0.022000	0.470063	51.734265	6.226778
0.022500	0.584374	51.720150	6.204525
0.023000	0.470382	51.708310	6.163204
0.023500	0.488434	51.600715	6.227866
0.024000	0.486636	51.507037	6.224745
0.024500	0.455669	51.546847	6.245534
0.025000	0.464884	51.468285	6.210536
0.025500	0.542775	51.383970	6.229191
0.026000	0.490856	51.360872	6.125461
0.026500	0.468924	51.321751	6.187154
0.027000	0.450129	51.311946	6.309221
0.027500	0.447622	51.120295	6.182547
0.028000	0.440921	51.200482	6.278999
0.028500	0.478113	51.090899	6.181885
0.029000	0.485630	51.017463	6.223470
0.029500	0.494111	51.007557	6.207840
0.030000	0.450237	50.889806	6.200360
0.030500	0.441897	50.831469	6.094031
0.031000	0.449487	50.843046	6.158653
0.031500	0.421919	50.723392	6.205934
0.032000	0.503670	50.700550	6.160395
0.032500	0.403236	50.622179	6.215615
0.033000	0.433329	50.645821	6.225166
0.033500	0.522495	50.550984	6.217568
0.034000	0.450894	50.503178	6.183601
0.034500	0.477314	50.454740	6.186405
0.035000	0.485370	50.308699	6.196679
0.035500	0.446385	50.323936	6.082718
0.036000	0.454583	50.276126	6.188622
0.036500	0.483449	50.242488	6.199839
0.037000	0.415483	50.173186	6.199920
0.037500	0.483597	50.151308	6.194480
0.038000	0.479854	50.122712	6.149582
0.038500	0.510414	50.031281	6.110276
0.039000	0.475124	50.036738	6.192857
0.039500	0.489275	49.932179	6.136180
0.040000	0.526610	49.878165	6.165765
0.040500	0.417228	49.784126	6.134250
0.041000	0.504734	49.700646	6.136524
0.041500	0.470077	49.714093	6.081458
0.042000	0.457918	49.669739	6.263094
0.042500	0.404243	49.635838	6.190087
0.043000	0.501956	49.501234	6.181424
0.043500	0.441370	49.541391	6.184831
0.044000	0.492010	49.507017	6.213703
0.044500	0.464776	49.384851	6.139681
0.045000	0.559985	49.333386	6.166577
0.045500	0.491409	49.233418	6.154483
0.046000	0.405726	49.219177	6.176665
0.046500	0.452854	49.148048	6.143066
0.047000	0.397953	49.093125	6.165156
0.047500	0.426025	49.080526	6.116975
0.048000	0.453469	49.044778	6.183691
0.048500	0.425041	48.988833	6.156525
0.049000	0.421810	48.885955	6.148134
0.049500	0.374410	48.876002	6.162470
0.050000	0.441934	48.850357	6.088427
0.050500	0.451753	48.693272	6.165427
0.051000	0.448071	48.721355	6.129170
0.051500	0.480162	48.650309	6.155866
0.052000	0.497554	48.493889	6.197848
0.052500	0.347810	48.449933	6.119397
0.053000	0.434378	48.502272	6.080485
0.053500	0.419473	48.447726	6.151924
0.054000	0.450408	48.354873	6.112190
0.054500	0.469170	48.394892	6.113047
0.055000	0.402460	48.241810	6.146723
0.055500	0.444711	48.086447	6.165081
0.056000	0.441937	48.108385	6.114996
0.056500	0.429492	48.099390	6.145281
0.057000	0.444941	48.077892	6.155917
0.057500	0.413071	48.044904	6.054935
0.058000	0.415228	47.923959	6.072599
0.058500	0.436697	47.824458	6.106874
0.059000	0.528444	47.836951	6.065358
0.059500	0.446533	47.723077	6.105099
0.060000	0.469422	47.842087	6.099825
0.060500	0.384105	47.623676	6.141217
0.061000	0.414029	47.611782	6.160767
0.061500	0.445996	47.493378	6.097625
0.062000	0.448202	47.534904	6.105112
0.062500	0.481917	47.417354	6.115441
0.063000	0.429636	47.362983	6.103834
0.063500	0.472183	47.468551	6.129676
0.064000	0.417828	47.290262	6.055768
0.064500	0.450290	47.205062	6.083330
0.065000	0.392299	47.129220	6.122137
0.065500	0.410531	47.075784	6.131482
0.066000	0.473173	47.078534	6.088161
0.066500	0.363891	47.091862	6.135274
0.067000	0.423533	46.976648	6.128320
0.067500	0.395709	47.025888	6.087879
0.068000	0.452437	46.909504	6.116794
0.068500	0.419299	46.786467	6.097810
0.069000	0.393234	46.765433	6.096235
0.069500	0.396668	46.751125	6.082472
0.070000	0.422470	46.596713	6.093123
0.070500	0.461500	46.557924	6.003279
0.071000	0.542578	46.518447	6.082492
0.071500	0.458320	46.551488	6.038206
0.072000	0.507689	46.481897	6.067502
0.072500	0.451265	46.440134	6.109709
0.073000	0.360641	46.396452	6.062992
0.073500	0.420529	46.252684	6.077258
0.074000	0.433815	46.185219	6.117418
0.074500	0.439172	46.208151	6.022914
0.075000	0.449885	46.112861	6.104936
0.075500	0.457370	46.057207	6.035942
0.076000	0.409289	45.968815	6.009412
0.076500	0.371467	45.960242	6.085141
0.077000	0.389121	45.967473	6.086245
0.077500	0.400417	45.891384	6.010026
0.078000	0.469257	45.919144	6.062194
0.078500	0.373494	45.751524	6.045304
0.079000	0.409684	45.663448	6.032032
0.079500	0.479831	45.674981	5.964444
0.080000	0.468809	45.554066	6.041680
0.080500	0.457169	45.585409	6.005670
0.081000	0.408968	45.514791	6.047052
0.081500	0.389598	45.425892	6.020958
0.082000	0.454279	45.469395	5.971808
0.082500	0.373666	45.292795	6.038304
0.083000	0.531311	45.229880	6.091933
0.083500	0.472979	45.182782	6.045467
0.084000	0.409415	45.174900	5.983700
0.084500	0.341936	45.053060	5.983722
0.085000	0.394021	45.107446	5.988411
0.085500	0.445474	44.946585	6.089454
0.086000	0.503668	44.918067	6.014800
0.086500	0.478063	44.845719	6.091335
0.087000	0.371800	44.892832	5.959675
0.087500	0.495643	44.819782	6.017104
