t [s]	 x [feet] 	 y [feet] 	 z [feet]
0.000000	0.500927	54.185167	6.271994
0.005000	0.469407	53.532686	6.321663
0.010000	0.522181	53.085466	6.202134
0.015000	0.467632	52.547558	6.250852
0.020000	0.412269	51.864680	6.188294
0.025000	0.494849	51.416786	6.176647
0.030000	0.411887	50.976415	6.242552
0.035000	0.491861	50.437417	6.139571
0.040000	0.485175	49.840769	6.197981
0.045000	0.453909	49.305041	6.239351
0.050000	0.395560	48.704732	6.066949
0.055000	0.476406	48.249925	6.041087
0.060000	0.374260	47.819877	6.139127
0.065000	0.408891	47.157025	6.085116
0.070000	0.373696	46.657333	6.061144
0.075000	0.395641	46.095500	6.032651
0.080000	0.394133	45.595395	5.988894
0.085000	0.428959	45.062034	6.071306
0.090000	0.412683	44.504353	5.960984
0.095000	0.434521	43.970675	5.983808
0.100000	0.496422	43.501476	5.974962
0.105000	0.457804	42.930136	5.888560
0.110000	0.474768	42.363061	5.915186
0.115000	0.439253	41.908342	5.777283
0.120000	0.430404	41.371557	5.876334
0.125000	0.387027	40.788289	5.917791
0.130000	0.416295	40.340444	5.877419
0.135000	0.429162	39.736023	5.787320
0.140000	0.340812	39.246528	5.701450
0.145000	0.384301	38.694948	5.698106
0.150000	0.330365	38.202506	5.687506
0.155000	0.374742	37.660633	5.604067
0.160000	0.386570	37.085941	5.574457
0.165000	0.408627	36.584669	5.594892
0.170000	0.407082	36.042243	5.554173
0.175000	0.397165	35.580578	5.476894
0.180000	0.365176	35.047195	5.490958
0.185000	0.436075	34.497780	5.415565
0.190000	0.421738	34.011205	5.357462
0.195000	0.381300	33.448114	5.313846
0.200000	0.363494	33.013623	5.382714
0.205000	0.405680	32.312811	5.317588
0.210000	0.351560	31.925110	5.289151
0.215000	0.442091	31.460240	5.160824
0.220000	0.428331	30.881797	5.185738
0.225000	0.369072	30.350462	5.132700
0.230000	0.443698	29.805257	5.094372
0.235000	0.517604	29.299842	5.001930
0.240000	0.381277	28.784395	4.996047
0.245000	0.306526	28.252839	4.924909
0.250000	0.446809	27.753394	4.858063
0.255000	0.387515	27.165770	4.824707
0.260000	0.400852	26.730805	4.795402
0.265000	0.418282	26.182574	4.663838
0.270000	0.475677	25.701691	4.667942
0.275000	0.391473	25.117358	4.619727
0.280000	0.400842	24.630989	4.602670
0.285000	0.422634	24.086936	4.549695
0.290000	0.381466	23.562576	4.461265
0.295000	0.408463	23.095177	4.386439
0.300000	0.412738	22.582091	4.320240
0.305000	0.374088	21.991697	4.261549
0.310000	0.456219	21.537567	4.132593
0.315000	0.538043	20.981797	4.125976
0.320000	0.426748	20.458343	4.040668
0.325000	0.363304	20.014688	4.001395
0.330000	0.430156	19.422361	3.820116
0.335000	0.486278	18.899499	3.920417
0.340000	0.496524	18.447181	3.848912
0.345000	0.407183	17.985552	3.769330
0.350000	0.528585	17.483600	3.652135
0.355000	0.416074	16.919348	3.609789
0.360000	0.506743	16.425299	3.521347
0.365000	0.408317	15.971740	3.504595
0.370000	0.481768	15.289392	3.409839
0.375000	0.500545	14.916457	3.308760
0.380000	0.483302	14.326237	3.185112
0.385000	0.441073	13.799205	3.138066
0.390000	0.484152	13.368533	3.023807
0.395000	0.426145	12.883733	2.987473
0.400000	0.546994	12.340806	2.884037
0.405000	0.518183	11.833697	2.860416
0.410000	0.500092	11.286258	2.738615
0.415000	0.591737	10.780140	2.641565
0.420000	0.504657	10.267261	2.514937
0.425000	0.565217	9.785440	2.464705
0.430000	0.437084	9.321719	2.358826
0.435000	0.558465	8.770003	2.227037
0.440000	0.522785	8.281547	2.233415
0.445000	0.469861	7.780754	2.061396
0.450000	0.546016	7.239415	2.087723
0.455000	0.548676	6.779301	1.967773
0.460000	0.649626	6.222690	1.810399
0.465000	0.515211	5.716732	1.776130
0.470000	0.547685	5.184730	1.589142
0.475000	0.528499	4.721157	1.582110
0.480000	0.585399	4.204123	1.405781
0.485000	0.606180	3.725256	1.317274
0.490000	0.592949	3.166380	1.236492
0.495000	0.614578	2.775560	1.122871
