t [s]	 x [feet] 	 y [feet] 	 z [feet]
0.000000	0.521188	54.160714	6.272084
0.025000	0.525218	51.441953	6.173103
0.050000	0.414484	48.789728	6.192341
0.075000	0.435782	46.093187	6.041660
0.100000	0.447664	43.477717	5.917787
0.125000	0.429632	40.871974	5.811005
0.150000	0.398096	38.212696	5.678715
0.175000	0.448640	35.542887	5.559230
0.200000	0.416266	32.925255	5.326511
0.225000	0.358225	30.374816	5.226149
0.250000	0.461114	27.720904	4.866405
0.275000	0.387779	25.163395	4.663346
0.300000	0.433725	22.623595	4.349279
0.325000	0.354114	19.920078	4.034080
0.350000	0.474734	17.438850	3.705944
0.375000	0.460788	14.911643	3.304082
0.400000	0.545200	12.392054	2.904058
0.425000	0.537991	9.796223	2.431209
0.450000	0.528883	7.279037	1.975297
0.475000	0.633309	4.732440	1.580681
